x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-930,-98,0,astrocyte,,,,
-871,-206,0,astrocyte,,,,
-851,-203,0,astrocyte,,,,
-838,-187,0,astrocyte,,,,
-838,-167,0,astrocyte,,,,
-831,-206,0,astrocyte,,,,
-824,-290,0,astrocyte,,,,
-824,-235,0,astrocyte,,,,
-820,-178,0,astrocyte,,,,
-818,-260,0,astrocyte,,,,
-813,-216,0,astrocyte,,,,
-811,-196,0,astrocyte,,,,
-810,-160,0,astrocyte,,,,
-808,-278,0,astrocyte,,,,
-806,-244,0,astrocyte,,,,
-800,-128,0,astrocyte,,,,
-800,-37,0,astrocyte,,,,
-798,-360,0,astrocyte,,,,
-798,-180,0,astrocyte,,,,
-797,-12,0,astrocyte,,,,
-795,-227,0,astrocyte,,,,
-794,-207,0,astrocyte,,,,
-793,-149,0,astrocyte,,,,
-786,-249,0,astrocyte,,,,
-783,-117,0,astrocyte,,,,
-783,-53,0,astrocyte,,,,
-782,-348,0,astrocyte,,,,
-782,-167,0,astrocyte,,,,
-782,-27,0,astrocyte,,,,
-781,1,0,astrocyte,,,,
-780,-190,0,astrocyte,,,,
-778,-97,0,astrocyte,,,,
-776,-317,0,astrocyte,,,,
-776,-297,0,astrocyte,,,,
-776,-216,0,astrocyte,,,,
-775,-371,0,astrocyte,,,,
-770,-237,0,astrocyte,,,,
-770,-133,0,astrocyte,,,,
-767,-41,0,astrocyte,,,,
-766,-336,0,astrocyte,,,,
-766,-80,0,astrocyte,,,,
-764,-176,0,astrocyte,,,,
-763,-281,0,astrocyte,,,,
-763,-114,0,astrocyte,,,,
-763,-11,0,astrocyte,,,,
-762,-200,0,astrocyte,,,,
-761,-256,0,astrocyte,,,,
-759,-359,0,astrocyte,,,,
-757,-305,0,astrocyte,,,,
-756,-222,0,astrocyte,,,,
-753,-155,0,astrocyte,,,,
-752,-95,0,astrocyte,,,,
-752,6,0,astrocyte,,,,
-750,-324,0,astrocyte,,,,
-750,-133,0,astrocyte,,,,
-750,-27,0,astrocyte,,,,
-747,-241,0,astrocyte,,,,
-746,-270,0,astrocyte,,,,
-746,-185,0,astrocyte,,,,
-746,-75,0,astrocyte,,,,
-745,-344,0,astrocyte,,,,
-743,-371,0,astrocyte,,,,
-743,-114,0,astrocyte,,,,
-742,-291,0,astrocyte,,,,
-742,-207,0,astrocyte,,,,
-742,-51,0,astrocyte,,,,
-738,-11,0,astrocyte,,,,
-735,-166,0,astrocyte,,,,
-734,-312,0,astrocyte,,,,
-733,-226,0,astrocyte,,,,
-733,-146,0,astrocyte,,,,
-732,-97,0,astrocyte,,,,
-731,-256,0,astrocyte,,,,
-730,-35,0,astrocyte,,,,
-729,-405,0,astrocyte,,,,
-729,-356,0,astrocyte,,,,
-727,-385,0,astrocyte,,,,
-727,-331,0,astrocyte,,,,
-727,-68,0,astrocyte,,,,
-726,-277,0,astrocyte,,,,
-726,-195,0,astrocyte,,,,
-726,-127,0,astrocyte,,,,
-725,9,0,astrocyte,,,,
-720,-297,0,astrocyte,,,,
-719,-18,0,astrocyte,,,,
-718,-240,0,astrocyte,,,,
-717,-213,0,astrocyte,,,,
-717,-176,0,astrocyte,,,,
-715,-156,0,astrocyte,,,,
-714,-111,0,astrocyte,,,,
-714,-88,0,astrocyte,,,,
-714,-52,0,astrocyte,,,,
-713,25,0,astrocyte,,,,
-712,-367,0,astrocyte,,,,
-711,-414,0,astrocyte,,,,
-711,-345,0,astrocyte,,,,
-711,-317,0,astrocyte,,,,
-711,-263,0,astrocyte,,,,
-708,-394,0,astrocyte,,,,
-708,-137,0,astrocyte,,,,
-707,-2,0,astrocyte,,,,
-705,-70,0,astrocyte,,,,
-705,-34,0,astrocyte,,,,
-704,-485,0,astrocyte,,,,
-704,-285,0,astrocyte,,,,
