x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-29.726587,-29.157585,-38.779044,follower cell,,,,
-11.743034,-27.681919,11.894253,follower cell,,,,
-26.0632,33.923833,0.679224,follower cell,,,,
-45.924032,-8.061172,26.037075,follower cell,,,,
-19.976048,38.401034,15.320107,leader cell,,,,
-22.156852,-19.608243,-44.152684,follower cell,,,,
-40.979473,-14.289417,18.326365,follower cell,,,,
1.573638,10.892336,-28.990647,follower cell,,,,
-40.843389,38.130375,0.22438,follower cell,,,,
19.206377,16.839421,28.32309,follower cell,,,,
-14.344349,59.534717,-4.954836,follower cell,,,,
18.602492,8.86614,-44.779609,follower cell,,,,
4.747082,42.408025,35.588936,follower cell,,,,
36.823056,-45.814727,15.725038,follower cell,,,,
58.294508,11.580994,-7.36995,follower cell,,,,
14.807835,0.097112,47.603979,follower cell,,,,
47.652965,9.796339,-26.597832,follower cell,,,,
33.55707,-42.613334,24.272366,follower cell,,,,
-18.451004,-41.340645,-8.48289,follower cell,,,,
-12.504496,18.502979,-36.899676,follower cell,,,,
-21.479122,11.004023,31.348015,follower cell,,,,
20.943172,-3.600902,-30.145512,follower cell,,,,
-4.396161,8.922354,-32.185538,follower cell,,,,
28.067131,10.000741,-10.670652,follower cell,,,,
47.350595,-37.932954,-7.988078,follower cell,,,,
1.452217,-12.895587,31.104957,follower cell,,,,
7.82203,52.182409,-7.145578,follower cell,,,,
36.212431,39.804919,-0.697552,follower cell,,,,
5.284334,13.266904,32.723167,follower cell,,,,
-28.154253,-9.991449,-25.920917,follower cell,,,,
40.92718,-18.55143,-20.960246,follower cell,,,,
-14.737128,-51.463951,-27.408144,follower cell,,,,
-43.696382,-19.117406,15.277638,follower cell,,,,
1.315848,-6.235203,49.744448,follower cell,,,,
21.00773,-36.436472,-17.927811,follower cell,,,,
-5.664666,-48.861656,4.383826,follower cell,,,,
22.345884,30.719011,46.465343,follower cell,,,,
33.597184,-11.692125,-46.450723,follower cell,,,,
40.602049,-22.635151,38.950599,follower cell,,,,
20.643533,-35.83288,-11.573281,follower cell,,,,
11.106152,-44.556875,4.486537,follower cell,,,,
-12.215109,-14.315483,11.174702,follower cell,,,,
16.917156,-19.973937,-47.333397,follower cell,,,,
29.795288,-26.649379,15.708358,follower cell,,,,
-7.230556,-18.799702,-12.236735,follower cell,,,,
13.797466,39.762329,31.450973,follower cell,,,,
-15.124005,40.904953,-18.993797,follower cell,,,,
23.218888,11.607597,-24.129861,follower cell,,,,
-19.95149,-35.801252,-38.219313,follower cell,,,,
34.888953,7.666898,-36.008176,follower cell,,,,
-19.956659,-54.265539,-12.825676,follower cell,,,,
42.61423,15.425746,21.357789,follower cell,,,,
-30.525308,-9.470424,36.510938,follower cell,,,,
54.69463,7.971758,-16.531892,follower cell,,,,
